text,label
verify your bank account immediately,1
reset your paypal password now,1
your account has been suspended,1
click here to claim reward,1
urgent action required,1
free amazon gift card,1
confirm your atm pin,1
security alert login immediately,1
win free iphone now,1
bank account blocked verify now,1
meeting tomorrow morning,0
project discussion today,0
happy birthday wishes,0
team outing this weekend,0
office closed tomorrow,0
conference call at 5 pm,0
client presentation attached,0
family dinner tonight,0
training starts monday,0
weekly report submitted,0
